1seg_158B,1seg_500B,1seg_1024B,1seg_2048B,1seg_4096B,6seg_158B,6seg_500B,6seg_1024B,6seg_2048B,6seg_4096B,1min_158B,1min_500B,1min_1024B,1min_2048B,1min_4096B,10min 158B TLS,10min 500B TLS,10min 1024B TLS,10min 2048B TLS,10min 4096B TLS,1seg_158B_sn_TLS,1seg_500B_sn_TLS,1seg_1024B_sn_TLS,1seg_2048B_sn_TLS,1seg_4096B_sn_TLS,6seg_158B_sn_TLS,6seg_500B_sn_TLS,6seg_1024B_sn_TLS,6seg_2048B_sn_TLS,6seg_4096B_sn_TLS,1min_158B_sn_TLS,1min_500B_sn_TLS,1min_1024B_sn_TLS,1min_2048B_sn_TLS,1min_4096B_sn_TLS,10min_158B_sn_TLS,10min_500B_sn_TLS,10min_1024B_sn_TLS,10min_2048B_sn_TLS,10min_4096B_sn_TLS
70.2,167.8,165.9,70.6,70.2,71.8,165,71,70.8,72.3,71,71.2,69.7,69.6,69.8,69.4,184.8,36.6,164,69.5,71.9,163.9,70.1,71.1,71.2,71,164.8,71,71.7,69.7,70.7,70.6,69.7,70.2,70.8,70,87.4,63.1,70,70.4
165.7,71.4,70.2,71,70.6,70,71.5,71.2,70.9,164.6,70,70,72,70.5,69.5,69.3,160,66.5,69.5,69.9,71.1,71.8,70.9,70.9,70.9,71.8,69.7,71.1,70.7,69.8,70.8,70.8,70.9,70.5,71.5,69.6,87.6,164.2,69.5,70.9
164.8,71.5,71.5,165.4,71,70.6,164.7,164.7,70.6,71.5,70.8,69.8,70.9,70.9,70.5,71.3,68,124.8,69.8,70.3,70.9,71.4,70.2,70.2,70.2,165.3,69.9,70.5,69.8,71.9,70.8,70.2,71.3,69.9,70.2,70,88.5,155,70.4,70.2
69.4,70.5,71.4,71.7,70.3,71,71.7,163.8,70.8,70.1,70.1,70.8,70.3,69.6,70.5,71.2,70.9,118.4,70.4,70.6,165.7,69.8,70.8,71.3,71,70.5,171,71.6,70.5,70.8,69.9,70.3,69.5,70.1,70.6,70.7,89.3,159.5,70.7,69.9
71.9,71.9,70.4,70.8,69.9,70.9,72.3,72.1,71.4,70,71.8,70.9,71.1,154.5,70.4,70.7,70.8,103.8,70.4,70.3,71.8,70.8,71.8,70.5,166,70.8,70.7,70.2,70.8,69.8,70.2,70.9,72,71,70.6,71.3,88.7,62.9,158,69.5
70.2,165.6,180.1,70.7,70.8,71,71.2,70.5,71.1,71.4,70.5,70.3,70.9,165.2,71,152.9,70,159.4,153.9,69.5,70.3,165.4,72.4,71,71,71.9,70,70.3,70.3,71,70.1,71.9,70.4,71.6,70.9,70.9,185,64.2,158.7,70.4
163.8,164.3,154.8,71,71.3,70.1,70.2,70.4,70.7,72,70.4,70.7,71.4,70.5,71.8,163.5,69.9,63.9,164.4,69.6,154.2,71.2,72.1,71.3,70.1,71.9,163.5,71.9,69.7,71,70.8,71.5,69.8,70.9,70.6,71.3,88.7,63.1,70.7,70.3
165.3,72.2,166.7,165.6,70.4,71.4,70.1,70.6,71,71.6,70.2,71.5,69.9,69.6,71.5,70.6,70.5,64.7,70.8,69.9,169.2,71.3,71.4,70,71.7,70.4,163.8,69.8,71,70.8,70.1,70.8,72.2,70.4,69.7,71.2,88.1,62.8,71.1,69.3
70.5,70.9,70.4,76.9,69.7,70.9,70.7,71,166.2,69.6,70.8,72.1,71.6,70.3,70.7,71.2,70.7,65.2,71.6,70.5,71.4,69.9,71.2,71,71.2,69.6,70.8,70.4,72,117.7,69.6,71.1,70.2,71.6,84.9,70.1,87.6,63.9,70.5,69.3
70.9,71.5,70.1,70.6,70.4,71.2,70.8,71.6,163.8,70.1,71,71.8,70.5,71.8,70.3,70.2,70.2,65.5,71.5,71,70.4,70.6,71.3,165.6,165.9,70.2,71.3,165.7,72,70.3,71.1,72.6,69.6,71.7,161.4,69.5,87.9,63.2,70,158.1
